County,Harvested_Area,Year,Production_MT,Yield
Uasin Gishu,95209.0,2018,405459.68,4.26
Vihiga,18010.0,2012,27857.0,1.55
Vihiga,24195.0,2013,36241.0,1.5
Vihiga,23772.0,2014,36605.0,1.54
Vihiga,35105.0,2015,43927.0,1.25
Vihiga,35783.0,2016,50289.0,1.41
Vihiga,29190.0,2017,43374.0,1.49
Vihiga,25090.0,2018,35129.0,1.4
Wajir,268.0,2012,191.0,0.71
Wajir,550.0,2013,375.0,0.68
Wajir,660.0,2014,112.0,0.17
Wajir,84.0,2015,38.0,0.45
Wajir,0.0,2016,0.0,0.0
Wajir,306.0,2017,398.0,1.3
Wajir,610.0,2018,1034.0,1.7
West Pokot,33035.0,2012,110674.0,3.35
West Pokot,19380.0,2013,54746.0,2.82
West Pokot,19748.0,2014,46341.0,2.35
West Pokot,33124.0,2015,60251.0,1.82
West Pokot,29143.0,2016,69151.0,2.37
West Pokot,34450.0,2017,51597.0,1.5
West Pokot,32172.0,2018,61840.0,1.92
